-10898.0	1
-10897.0	0
-10820.0	1
-10819.0	0
-10808.0	1
-10807.0	0
-10758.0	1
-10757.0	0
-10755.0	1
-10754.0	1
-10753.0	0
-10750.0	1
-10749.0	0
-10746.0	1
-10745.0	0
-10742.0	2
-10741.0	0
-10735.0	1
-10734.0	0
-10730.0	1
-10729.0	0
-10728.0	1
-10727.0	1
-10726.0	1
-10725.0	1
-10724.0	0
-10718.0	1
-10717.0	0
-10715.0	1
-10714.0	1
-10713.0	1
-10712.0	1
-10711.0	1
-10710.0	1
-10709.0	0
-10708.0	1
-10707.0	0
-10701.0	1
-10700.0	1
-10699.0	0
-10698.0	1
-10697.0	0
-10688.0	2
-10687.0	0
-10685.0	1
-10684.0	0
-10671.0	1
-10670.0	1
-10669.0	0
-10662.0	1
-10661.0	0
-10656.0	1
-10655.0	0
-10654.0	1
-10653.0	0
-10647.0	1
-10646.0	0
-10643.0	1
-10642.0	0
-10641.0	1
-10640.0	0
-10639.0	2
-10638.0	0
-10635.0	1
-10634.0	0
-10633.0	1
-10632.0	0
-10631.0	1
-10630.0	0
-10627.0	1
-10626.0	0
-10618.0	1
-10617.0	0
-10609.0	1
-10608.0	0
-10607.0	1
-10606.0	1
-10605.0	0
-10595.0	1
-10594.0	0
-10591.0	2
-10590.0	0
-10584.0	1
-10583.0	0
-10582.0	1
-10581.0	2
-10580.0	1
-10579.0	0
-10577.0	1
-10576.0	0
-10574.0	1
-10573.0	0
-10567.0	1
-10566.0	0
-10565.0	1
-10564.0	1
-10563.0	0
-10560.0	1
-10559.0	1
-10558.0	0
-10541.0	1
-10540.0	1
-10539.0	1
-10538.0	2
-10537.0	0
-10531.0	1
-10530.0	0
-10526.0	1
-10525.0	1
-10524.0	0
-10523.0	1
-10522.0	0
-10519.0	1
-10518.0	1
-10517.0	0
-10505.0	1
-10504.0	0
-10502.0	1
-10501.0	0
-10499.0	1
-10498.0	1
-10497.0	0
-10494.0	1
-10493.0	1
-10492.0	1
-10491.0	1
-10490.0	0
-10489.0	1
-10488.0	2
-10487.0	0
-10485.0	1
-10484.0	0
-10472.0	1
-10471.0	1
-10470.0	2
-10469.0	1
-10468.0	0
-10463.0	1
-10462.0	0
-10461.0	1
-10460.0	0
-10458.0	2
-10457.0	1
-10456.0	1
-10455.0	0
-10454.0	1
-10453.0	0
-10452.0	1
-10451.0	0
-10450.0	3
-10449.0	2
-10448.0	2
-10447.0	0
-10445.0	1
-10444.0	1
-10443.0	2
-10442.0	0
-10440.0	2
-10439.0	1
-10438.0	2
-10437.0	0
-10436.0	1
-10435.0	1
-10434.0	0
-10430.0	1
-10429.0	1
-10428.0	1
-10427.0	2
-10426.0	1
-10425.0	0
-10423.0	1
-10422.0	0
-10421.0	2
-10420.0	0
-10418.0	1
-10417.0	1
-10416.0	0
-10415.0	1
-10414.0	0
-10412.0	1
-10411.0	0
-10404.0	1
-10403.0	0
-10402.0	3
-10401.0	0
-10398.0	1
-10397.0	0
-10394.0	1
-10393.0	0
-10392.0	1
-10391.0	0
-10383.0	1
-10382.0	0
-10380.0	1
-10379.0	0
-10378.0	1
-10377.0	0
-10374.0	1
-10373.0	2
-10372.0	0
-10371.0	2
-10370.0	1
-10369.0	1
-10368.0	1
-10367.0	0
-10360.0	1
-10359.0	0
-10356.0	1
-10355.0	0
-10354.0	1
-10353.0	0
-10350.0	1
-10349.0	2
